Driver ID,Trip Date,Trip Fare,City,Vehicle Type
D0001,2021-04-28,1654.03,Port Harcourt,Car
D0001,2021-05-28,12211.68,Lagos,Bike
D0001,2021-06-12,3643.81,Abuja,Tricycle
D0001,2021-12-04,3458.93,Lagos,Tricycle
D0001,2021-12-18,5269.34,Lagos,Car
D0001,2021-12-28,6855.33,Abuja,Car
D0001,2022-05-14,10447.35,Ibadan,Car
D0001,2022-07-21,14619.27,Kano,Bike
D0001,2022-10-10,9131.51,Abuja,Bike
D0001,2023-01-21,3565.75,Port Harcourt,Bike
D0001,2023-02-15,2276.22,Port Harcourt,Car
D0001,2023-04-15,10406.05,Lagos,Bike
D0001,2023-04-28,6075.48,Lagos,Tricycle
D0001,2023-08-05,9558.16,Abuja,Car
D0001,2023-08-14,7717.47,Lagos,Bike
D0001,2023-11-16,8425.92,Kano,Tricycle
D0002,2021-03-31,556.82,Port Harcourt,Bike
D0002,2021-06-08,14641.05,Abuja,Car
D0002,2021-08-16,7966.48,Port Harcourt,Bike
D0002,2021-10-20,1371.06,Port Harcourt,Bike
D0002,2021-12-14,5244.71,Port Harcourt,Bike
D0002,2022-01-25,5886.22,Lagos,Bike
D0002,2022-12-08,9957.83,Kano,Bike
D0002,2022-12-15,6143.52,Kano,Car
D0002,2023-03-01,6939.64,Ibadan,Bike
D0002,2023-04-18,5438.35,Kano,Car
D0002,2023-04-24,12240.28,Ibadan,Tricycle
D0002,2023-05-11,10104.39,Ibadan,Car
D0002,2023-11-15,11395.64,Port Harcourt,Car
D0002,2023-12-20,8865.57,Ibadan,Bike
D0003,2021-03-18,8018.15,Ibadan,Bike
D0003,2021-05-23,14220.84,Kano,Tricycle
D0003,2021-07-21,8483.27,Abuja,Tricycle
D0003,2021-11-02,12872.63,Port Harcourt,Bike
D0003,2021-12-02,11531.01,Lagos,Bike
D0003,2021-12-24,6368.24,Lagos,Bike
D0003,2022-05-05,6898.48,Lagos,Bike
D0003,2022-05-31,14762.16,Lagos,Bike
